ZIP,LAT,LNG,City
90002,33.949099,-118.246737,Los Angeles
90003,33.964131,-118.272783,Los Angeles
90004,34.076198,-118.310722,Los Angeles
90005,34.059163,-118.306892,Los Angeles
90006,34.048041,-118.294177,Los Angeles
90007,34.028129,-118.284829,Los Angeles
90008,34.009552,-118.346724,Los Angeles
90010,34.062148,-118.315889,Los Angeles
90011,34.007090,-118.258681,Los Angeles
90012,34.065975,-118.238642,Los Angeles
90013,34.045405,-118.240454,Los Angeles
90014,34.043146,-118.251746,Los Angeles
90015,34.039378,-118.266300,Los Angeles
90016,34.028331,-118.354338,Los Angeles
90017,34.052913,-118.264340,Los Angeles
90018,34.028887,-118.317183,Los Angeles
90019,34.049841,-118.338460,Los Angeles
90020,34.066379,-118.309870,Los Angeles
90021,34.029036,-118.237870,Los Angeles
90022,34.023728,-118.156275,Los Angeles
90023,34.022502,-118.199613,Los Angeles
90024,34.065723,-118.434969,Los Angeles
90025,34.045421,-118.445873,Los Angeles
90026,34.080017,-118.262643,Los Angeles
90027,34.127194,-118.295647,Los Angeles
90028,34.099912,-118.326912,Los Angeles
90029,34.089848,-118.294661,Los Angeles
90031,34.085784,-118.206666,Los Angeles
90032,34.078195,-118.185501,Los Angeles
90033,34.050380,-118.211991,Los Angeles
90034,34.030578,-118.399613,Los Angeles
90035,34.051809,-118.383674,Los Angeles
90036,34.070410,-118.350411,Los Angeles
90037,34.002719,-118.287487,Los Angeles
90038,34.088475,-118.325527,Los Angeles
90039,34.111885,-118.261033,Los Angeles
90040,33.994523,-118.149952,Los Angeles
90041,34.137412,-118.207607,Los Angeles
90042,34.114708,-118.192098,Los Angeles
90043,33.988505,-118.336358,Los Angeles
90044,33.952725,-118.291904,Los Angeles
90045,33.942108,-118.417488,Los Angeles
90046,34.107810,-118.362247,Los Angeles
90047,33.953617,-118.308428,Los Angeles
90048,34.072924,-118.372710,Los Angeles
90049,34.092540,-118.491064,Los Angeles
90056,33.988047,-118.370361,Los Angeles
90057,34.061735,-118.276757,Los Angeles
90058,34.002844,-118.216400,Los Angeles
90059,33.926262,-118.249883,Los Angeles
90061,33.921280,-118.274186,Los Angeles
90062,34.003638,-118.308806,Los Angeles
90063,34.045105,-118.185914,Los Angeles
90064,34.037251,-118.423573,Los Angeles
90065,34.112272,-118.225496,Los Angeles
90066,34.002028,-118.430656,Los Angeles
90067,34.057597,-118.413998,Los Angeles
90068,34.129772,-118.330989,Los Angeles
90069,34.093828,-118.381697,West Hollywood
90071,34.052876,-118.254943,Los Angeles
90073,34.054534,-118.457025,Los Angeles
90077,34.108023,-118.456964,Los Angeles
90079,34.040587,-118.255404,Los Angeles
90089,34.020221,-118.286035,Los Angeles
90090,34.072862,-118.240989,Los Angeles
90094,33.975414,-118.416990,Culver City
90095,34.071200,-118.443523,Los Angeles
90201,33.970343,-118.171368,Bell Gardens
90210,34.100517,-118.414712,Beverly Hills
90211,34.064958,-118.382979,Beverly Hills
90212,34.062210,-118.401966,Beverly Hills
90220,33.881510,-118.234451,Compton
90221,33.885624,-118.205918,Compton
90222,33.912246,-118.236773,Compton
90230,33.997862,-118.393617,Culver City
90232,34.019323,-118.391902,Culver City
90240,33.955729,-118.118346,Downey
90241,33.940445,-118.129022,Downey
90242,33.921793,-118.140588,Downey
90245,33.917140,-118.404267,El Segundo
90247,33.890853,-118.297967,Gardena
90248,33.878432,-118.284104,Gardena
90249,33.901390,-118.315697,Gardena
90250,33.914775,-118.348083,Hawthorne
90254,33.864259,-118.399303,Hermosa Beach
90255,33.979248,-118.217438,Huntington Park
90260,33.888560,-118.351813,Lawndale
90263,34.039034,-118.707992,Malibu
90265,34.066117,-118.846342,Malibu
90266,33.889151,-118.402127,Manhattan Beach
90270,33.987729,-118.186597,Maywood
90274,33.780065,-118.372454,Palos Verdes
90275,33.753155,-118.367963,Rancho Palos Verdes
90277,33.830006,-118.387124,Redondo Beach
90278,33.873215,-118.370360,Redondo Beach
90280,33.944159,-118.192761,South Gate
90290,34.107753,-118.616219,Topanga
90291,33.993396,-118.465193,Venice
90301,33.956526,-118.358654,Inglewood
90302,33.975332,-118.355252,Inglewood
90303,33.939766,-118.331085,Inglewood
90304,33.937886,-118.358559,Inglewood
90305,33.958890,-118.330548,Inglewood
90401,34.013666,-118.493750,Santa Monica
90402,34.034666,-118.504039,Santa Monica
90403,34.030755,-118.492101,Santa Monica
90404,34.026608,-118.473643,Santa Monica
90405,34.011312,-118.469762,Santa Monica
90501,33.833744,-118.314022,Torrance
90502,33.833181,-118.292062,Torrance
90503,33.840398,-118.353715,Torrance
90504,33.867257,-118.330794,Torrance
90505,33.807882,-118.347957,Torrance
90601,34.007840,-118.030271,Whittier
90602,33.972782,-118.022066,Whittier
90603,33.945555,-117.990719,Whittier
90604,33.927691,-118.013828,Whittier
90605,33.950295,-118.024352,Whittier
90606,33.977272,-118.066363,Whittier
90620,33.845223,-118.015292,Buena Park
90621,33.874224,-117.993368,Buena Park
90623,33.850616,-118.039565,La Palma
90630,33.818477,-118.038307,Cypress
